lilly_id,nct_id,title,phase,lead_sponsor,start_date,doc_type,filename,status,local_path,timestamp
I8F-MC-GPIN,NCT05978713,A Study of Tirzepatide (LY3298176) in Healthy Lactating Females,Phase 1,Eli Lilly and Company,2023-07-31,Prot,Prot_000.pdf,downloaded,lilly_trial_docs/I8F-MC-GPIN_31JUL2023/Prot_Prot_000.pdf,2026-06-15T12:13:17.315044
I8F-MC-GPIN,NCT05978713,A Study of Tirzepatide (LY3298176) in Healthy Lactating Females,Phase 1,Eli Lilly and Company,2023-07-31,SAP,SAP_001.pdf,downloaded,lilly_trial_docs/I8F-MC-GPIN_31JUL2023/SAP_SAP_001.pdf,2026-06-15T12:13:19.342721
J2A-MC-GZGM,NCT05469126,A Drug Interaction Study of Clarithromycin and LY3502970 in Healthy Participants,Phase 1,Eli Lilly and Company,2022-08-01,Prot,Prot_000.pdf,downloaded,lilly_trial_docs/J2A-MC-GZGM_01AUG2022/Prot_Prot_000.pdf,2026-06-15T12:13:24.041266
J2A-MC-GZGM,NCT05469126,A Drug Interaction Study of Clarithromycin and LY3502970 in Healthy Participants,Phase 1,Eli Lilly and Company,2022-08-01,SAP,SAP_001.pdf,downloaded,lilly_trial_docs/J2A-MC-GZGM_01AUG2022/SAP_SAP_001.pdf,2026-06-15T12:13:25.010414
J1I-MC-GZBT,NCT05916560,A Study of LY3437943 in Participants With Impaired and Normal Liver Function,Phase 1,Eli Lilly and Company,2023-07-13,N/A,N/A,no_documents,,2026-06-15T12:13:25.010632
I7P-MC-DSAI,NCT07545590,A Study of Eltrekibart (LY3041658) in Healthy Participants,Phase 1,Eli Lilly and Company,2026-04,N/A,N/A,no_documents,,2026-06-15T12:13:25.010691
J2J-MC-JZLF,NCT05509790,A Study of LY3484356 in Chinese Participants With Advanced Breast Cancer,Phase 1,Eli Lilly and Company,2022-10-09,N/A,N/A,no_documents,,2026-06-15T12:13:25.010739
21-x234,NCT05007769,"Ramucirumab, Atezolizumab and N-803 After Progression on Any Immune Checkpoint Blocker in NSCLC",Phase 2,Washington University School of Medicine,2021-10-31,N/A,N/A,no_documents,,2026-06-15T12:13:25.010791
J3L-MC-EZEB,NCT05565742,A Study of LY3819469 in Participants With Elevated Lipoprotein(a) [Lp(a)],Phase 2,Eli Lilly and Company,2022-10-20,Prot,Prot_000.pdf,downloaded,lilly_trial_docs/J3L-MC-EZEB_20OCT2022/Prot_Prot_000.pdf,2026-06-15T12:13:26.170865
J3L-MC-EZEB,NCT05565742,A Study of LY3819469 in Participants With Elevated Lipoprotein(a) [Lp(a)],Phase 2,Eli Lilly and Company,2022-10-20,SAP,SAP_002.pdf,downloaded,lilly_trial_docs/J3L-MC-EZEB_20OCT2022/SAP_SAP_002.pdf,2026-06-15T12:13:27.246966
